,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
390,2.6125,2269102277637,0.41983,0.07934
391,2.6192,2269102344610,0.41267,0.10002
392,2.62553,2269102408059,0.4084,0.12394
393,2.63242,2269102476828,0.40324,0.1482
394,2.63939,2269102546619,0.39874,0.177
395,2.64687,2269102621264,0.39718,0.1813
396,2.65242,2269102676931,0.39629,0.18343
397,2.65926,2269102745249,0.39401,0.19581
398,2.66573,2269102809948,0.39126,0.20729
399,2.67239,2269102876554,0.38901,0.21669
400,2.67931,2269102945679,0.39022,0.22798
401,2.68611,2269103013809,0.38994,0.237
402,2.69365,2269103089147,0.38461,0.27327
403,2.70042,2269103156921,0.48522,0.11088
404,2.70752,2269103227908,0.44783,0.15838
405,2.71417,2269103294432,0.44399,0.15175
406,2.72028,2269103355437,0.39325,0.20915
407,2.72757,2269103428395,0.37109,0.23831
408,2.73441,2269103496645,0.33361,0.2819
409,2.74042,2269103556891,0.29342,0.26404
410,2.74611,2269103613814,0.2794,0.2144
411,2.75414,2269103694031,0.25055,0.16134
412,2.75958,2269103748515,0.24177,0.18027
413,2.76625,2269103815205,0.32128,0.1098
414,2.77299,2269103882660,0.39783,0.04642
415,2.77957,2269103948350,0.33028,0.15592
416,2.78633,2269104015900,0.31222,0.20143
417,2.79311,2269104083692,0.27165,0.28345
418,2.79976,2269104150175,0.42609,0.25598
419,2.80661,2269104218706,0.37564,0.26701
420,2.81317,2269104284347,0.377,0.2637
421,2.8199,2269104351739,0.32529,0.2605
422,2.82648,2269104417421,0.31497,0.2578
423,2.83336,2269104486306,0.30981,0.25645
424,2.83984,2269104551083,0.29773,0.23735
425,2.84654,2269104618022,0.28991,0.2329
426,2.85327,2269104685313,0.28409,0.22962
427,2.86005,2269104753060,0.2804,0.22215
428,2.86668,2269104819430,0.27703,0.20861
429,2.87335,2269104886190,0.27493,0.19685
430,2.87996,2269104952310,0.27534,0.19308
431,2.88684,2269105021052,0.27502,0.19269
432,2.89429,2269105095515,0.27448,0.19298
433,2.90013,2269105153909,0.2735,0.18978
434,2.90784,2269105231103,0.27185,0.18978
435,2.91411,2269105293815,0.25708,0.16816
436,2.92102,2269105362858,0.24501,0.16314
437,2.92783,2269105430974,0.25141,0.16059
438,2.93503,2269105502905,0.25422,0.15986
439,2.94142,2269105566805,0.24949,0.16006
440,2.94797,2269105632342,0.24625,0.15603
441,2.955,2269105702643,0.2442,0.15286
442,2.96184,2269105771081,0.24398,0.15005
443,2.96852,2269105837887,0.24669,0.15236
444,2.97487,2269105901302,0.24849,0.15506
445,2.98148,2269105967465,0.25174,0.15346
446,2.98729,2269106025498,0.25403,0.14909
447,2.994,2269106092719,0.25625,0.14459
448,3.00076,2269106160230,0.25657,0.12382
449,3.00703,2269106223001,0.25817,0.11609
450,3.01419,2269106294493,0.25986,0.10902
451,3.021,2269106362583,0.26665,0.06648
452,3.02878,2269106440501,0.26816,0.01664
453,3.03583,2269106510931,0.26752,0.00115
454,3.04182,2269106570882,0.2629,-0.05621
455,3.04904,2269106643094,0.2691,-0.11097
456,3.0544,2269106696618,0.27191,-0.12966
457,3.0611,2269106763601,0.27384,-0.15982
458,3.06827,2269106835335,0.26674,-0.16322
459,3.07516,2269106904233,0.26376,-0.164
460,3.082,2269106972680,0.26174,-0.16885
461,3.08769,2269107029582,0.25951,-0.16939
462,3.09532,2269107105905,0.25802,-0.16976
463,3.10109,2269107163598,0.25952,-0.17058
464,3.10796,2269107232241,0.2593,-0.17133
465,3.11568,2269107309368,0.25912,-0.17191
466,3.1212,2269107364716,0.25951,-0.1702
467,3.12927,2269107445334,0.25984,-0.16775
468,3.13556,2269107508310,0.25995,-0.16559
469,3.14308,2269107583419,0.25969,-0.16349
470,3.1483,2269107635689,0.26076,-0.1625
471,3.15625,2269107715208,0.26156,-0.16156
472,3.16251,2269107777724,0.26046,-0.15982
473,3.16814,2269107834036,0.26124,-0.15792
474,3.17635,2269107916090,0.26196,-0.15629
475,3.18219,2269107974482,0.26174,-0.15864
476,3.18901,2269108042766,0.2622,-0.15832
477,3.19533,2269108105948,0.26267,-0.15808
